Year,No_of_Cases_Launched,No_of_Cases_Decided,No_of_Convictions
2018-19,2813,NA,701
2019-20,4851,828,780
2020-21,3859,520,536
2021-22,4946,NA,671
2022-23,4817,NA,1133
